,matnr,zzprncode,zzibrnd,mtart,matkl,TherapeuticClass,PrincipalName,mstae,mstde,mstav,mstdv,zzdwrx,spart,vtweg,dwerk,mvgr1,mvgr2,mvgr3,mvgr4,mvgr5,tragr,vmsta,vmstd,MaterialSalesOrganisation,prodh,mtpos,OldMaterialCode,GovernmentMaterialCode,taxClassification,Description,Language,DefaultMaterialDescription,DefaultMaterialLanguage,unitOfMeasurement,itemRegistrationNumber,GenericMaterialName,WarehouseStorageCondition,aland,taxm1,taxm2,taxm3,taxm4,taxm5,taxm6,taxm7,taxm8,taxm9,taxim,tatyp,vtext,idnlf,prat1,prat2,prat3,prat4,prat5,prat6,prat7,prat8,prat9,zzibrnd_new,TherapeuticClass_new,PrincipalName_new,soup
0,21047156,101276.0,DERMAVEEN SOAP FREE,ZF01,ZCS,All other non-therapeutic products,INOVA PHARMACEUTICALS (S) PTE,LR,20250101,BS,20250101,Y,20,10,2010,,,ZNC,2GD,,ZP01,Z7,20150512,2001,101276003290007011,NORM,72918,,,DERMAVEEN SOAP FREEWASH500ML,E,DERMAVEEN SOAP FREEWASH500ML,E,EA,NOT REQUIRED,DERMAVEEN SOAP FREE WASH 500ML,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['DERMAVEEN SOAP FREE'],['All other non-therapeutic products'],['INOVA PHARMACEUTICALS (S) PTE'],dermaveen soap free all other non-therapeutic productsinova pharmaceuticals (s) pte dermaveen soap freewash500ml
1,23046633,101234.0,KENHANCER PLASTER,ZF03,ZMC,Topical antirheumatics,SUN PHARMACEUTICAL SDN BHD,LR,20250101,LR,20250101,Y,30,10,2010,,,ZNC,2SD,,ZP01,,0,2001,1012340BIO02002001,NORM,0190003,,,KENHANCER PLASTER20'S,E,KENHANCER PLASTER20'S,E,EA,MAL20002251A,KENHANCER PLASTER                20'S,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,23046633-CCCC,,,,,,,,,,['KENHANCER PLASTER'],['Topical antirheumatics'],['SUN PHARMACEUTICAL SDN BHD'],kenhancer plaster topical antirheumaticssun pharmaceutical sdn bhd kenhancer plaster20's
2,21210803,101223.0,TECNIS ONE ZCB 06.5D,ZF01,ZMD,Cataract and anticataractogenic preps.,ABBOTT MEDICAL OPTICS,LR,99910101,LR,99910101,Y,30,10,2010,ZCB,,ZNC,2GD,,ZP01,,0,2001,101223000IOL003001,NORM,009ZCB00065,,,TECNIS ONE ZCB 06.5D,E,TECNIS ONE ZCB 06.5D,E,EA,NOT REQUIRED,TECNIS ONE ZCB 06.5D,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,ZCB0000065,,,,,,,,,,['TECNIS ONE ZCB 06.5D'],['Cataract and anticataractogenic preps.'],['ABBOTT MEDICAL OPTICS'],tecnis one zcb 06.5d cataract and anticataractogenic preps.abbott medical optics tecnis one zcb 06.5d
3,23064902,101369.0,REDOXON KIDS DA CHEW,ZF03,ZCH,Vitamin C combinations,BAYER CO (MALAYSIA) SDN BHD,LR,20250101,LR,20250101,Y,20,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101369000001003002,NORM,25180450592,,,REDOXON KIDS DA CHEWABLETAB60S,E,REDOXON KIDS DA CHEWABLETAB60S,E,EA,MAL09122804X,REDOXON KIDS DA CHEWABLE  TAB    60S,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,80450592,,,,,,,,,,['REDOXON KIDS DA CHEW'],['Vitamin C combinations'],['BAYER CO (MALAYSIA) SDN BHD'],redoxon kids da chew vitamin c combinationsbayer co (malaysia) sdn bhd redoxon kids da chewabletab60s
4,21037570,101223.0,TECNIS ONE ZCB 21.0D,ZF01,ZMD,Cataract and anticataractogenic preps.,ABBOTT MEDICAL OPTICS,LR,20250101,LR,20250101,Y,30,10,2010,ZCB,,ZNC,2GD,,ZP01,,0,2001,101223000IOL002007,NORM,009ZCB00210,,,TECNIS ONE ZCB 21.0D,E,TECNIS ONE ZCB 21.0D,E,EA,NOT REQUIRED,TECNIS ONE ZCB 21.0D,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['TECNIS ONE ZCB 21.0D'],['Cataract and anticataractogenic preps.'],['ABBOTT MEDICAL OPTICS'],tecnis one zcb 21.0d cataract and anticataractogenic preps.abbott medical optics tecnis one zcb 21.0d
5,23344235,102575.0,SynMesh Cutter,ZF03,ZPE,Promotional items,STRYKER CORPORATION (M) SDN BHD,LR,99901231,LR,99901231,Y,0,10,2014,,,,,,ZMD3,,0,2001,102575,NORM,KT64175445550,,,SynMesh Cutter V3,E,SynMesh Cutter V3,E,EA,,,AC,MY,0.0,,,,,,,,,,MWST,Product : No Tax,,,,,,,,,,,['SynMesh Cutter'],['Promotional items'],['STRYKER CORPORATION (M) SDN BHD'],synmesh cutter promotional itemsstryker corporation (m) sdn bhd synmesh cutter v3
6,23063927,101365.0,FLUOROCELL WDF,ZF03,ZMD,All other diagnostic tests,SYSMEX (M) SDN BHD (PCL a/c),LR,20250101,LR,20250101,Y,30,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101365HEMA01002003,NORM,227CV377552,,,FLUOROCELL WDFST2X42ML,E,FLUOROCELL WDFST2X42ML,E,EA,NOT REQUIRED,FLUOROCELL WDF ST 2X42ML,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,CV377552,,,,,,,,,,['FLUOROCELL WDF'],['All other diagnostic tests'],['SYSMEX (M) SDN BHD (PCL a/c)'],fluorocell wdf all other diagnostic testssysmex (m) sdn bhd (pcl a/c) fluorocell wdfst2x42ml
7,23073116,101286.0,ADALAT LA,ZF03,ZPE,"Calcium antagonists, plain",BAYER CO (M) SDN BHD (PCL a/c),LR,20250101,LR,20250101,Y,10,10,2010,,,ZNC,2SD,,ZP01,,0,2001,10128600BAY2BU4016,NORM,88004,,,ADALAT LATABS30MG30'S,E,ADALAT LATABS30MG30'S,E,EA,MAL20001248A,NIFEDIPINE,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,3594436,,,,,,,,,,['ADALAT LA'],"['Calcium antagonists', 'plain']",['BAYER CO (M) SDN BHD (PCL a/c)'],adalat la calcium antagonists plainbayer co (m) sdn bhd (pcl a/c) adalat latabs30mg30's
8,23046886,101236.0,ZOVIRAX OPTH,ZF03,ZPE,Ophthalmological antiviral agents,GLAXOSMITHKLINE PHARMACEUTICAL_,LR,20250101,LR,20250101,Y,10,10,2010,,,ZNC,2SD,,ZP01,Z7,20140620,2001,101236ANTI-VZOVZOV,NORM,02181239,,,ZOVIRAX OPTHOINT4.5GM,E,ZOVIRAX OPTHOINT4.5GM,E,EA,MAL05072013AC,ACYCLOVIR,AC,MY,0.0,,,,,,,,,,MWST,Product : No Tax,,,,,,,,,,,['ZOVIRAX OPTH'],['Ophthalmological antiviral agents'],['GLAXOSMITHKLINE PHARMACEUTICAL_'],zovirax opth ophthalmological antiviral agentsglaxosmithkline pharmaceutical_ zovirax opthoint4.5gm
9,23071153,101242.0,OXY OIL CONTROL TONE,ZF03,ZCS,"Emollients, protectives",ROHTO-MENTHOLATUM (M) SDN BHD,LR,20250101,LR,20250101,Y,20,10,2010,,,ZNC,2GD,,ZP01,,0,2001,1012420OXY01006012,NORM,29191,,,OXY OIL CONTROL TONER150ML,E,OXY OIL CONTROL TONER150ML,E,EA,NOT120601975K,OXY OIL CONTROL TONER            150ML,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['OXY OIL CONTROL TONE'],"['Emollients', 'protectives']",['ROHTO-MENTHOLATUM (M) SDN BHD'],oxy oil control tone emollients protectivesrohto-mentholatum (m) sdn bhd oxy oil control toner150ml
