"customersoldto","customershipto","salesorg","salesrepid","salesreptype","principalnumber","countrycode","csteam","principalgroup","principalsalesrep","soldtoincluded"
"0030070570","0070090977","2001","adlee","internal","0000100226","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","adwong","internal","0000104344","MY","COMSOLMY","","E903",True
"0030070570","0070090977","2001","adwong","internal","0000104483","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","adwong","internal","0000104667","MY","COMSOLMY","","E401",True
"0030070570","0070090977","2001","adwong","internal","0000104808","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","adwong","internal","0000104947","MY","COMSOLMY","","E101",True
"0030070570","0070090977","2001","adwong","internal","0000104947","MY","COMSOLMY","","E109",True
"0030070570","0070090977","2001","adwong","internal","0000104947","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","adwong","internal","0000104947","MY","COMSOLMY","","E803",True
"0030070570","0070090977","2001","adwong","internal","0000104947","MY","COMSOLMY","","NETH",True
"0030070570","0070090977","2001","adwong","internal","0000105141","MY","COMSOLMY","","E151",True
"0030070570","0070090977","2001","adwong","internal","0000105141","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","adwong","internal","0000105221","MY","COMSOLMY","","LOR2",True
"0030070570","0070090977","2001","adwong","internal","0000105351","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","adwong","internal","0000105571","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","ayeoh","internal","0000104947","MY","COMSOLMY","","E109",True
"0030070570","0070090977","2001","aysuhendra","internal","0000100187","MY","COMSOLMY","","E141",True
"0030070570","0070090977","2001","aysuhendra","internal","0000100187","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","aysuhendra","internal","0000100226","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","aysuhendra","internal","0000100268","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","aysuhendra","internal","0000100289","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","aysuhendra","internal","0000101788","MY","COMSOLMY","","E003",True
"0030070570","0070090977","2001","aysuhendra","internal","0000101788","MY","COMSOLMY","","E605",True
"0030070570","0070090977","2001","aysuhendra","internal","0000101808","MY","COMSOLMY","","E903",True
"0030070570","0070090977","2001","aysuhendra","internal","0000101827","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","aysuhendra","internal","0000101989","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","aysuhendra","internal","0000102200","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","aysuhendra","internal","0000102200","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","aysuhendra","internal","0000102201","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","aysuhendra","internal","0000102226","MY","COMSOLMY","","E003",True
"0030070570","0070090977","2001","aysuhendra","internal","0000102233","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","aysuhendra","internal","0000102475","MY","COMSOLMY","","E401",True
"0030070570","0070090977","2001","aysuhendra","internal","0000102696","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","aysuhendra","internal","0000102729","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","aysuhendra","internal","0000103805","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104174","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104174","MY","COMSOLMY","","E9V2",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104344","MY","COMSOLMY","","E903",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104483","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104667","MY","COMSOLMY","","E401",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104808","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104947","MY","COMSOLMY","","E101",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104947","MY","COMSOLMY","","E109",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104947","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104947","MY","COMSOLMY","","E803",True
"0030070570","0070090977","2001","aysuhendra","internal","0000104947","MY","COMSOLMY","","NETH",True
"0030070570","0070090977","2001","aysuhendra","internal","0000105141","MY","COMSOLMY","","E151",True
"0030070570","0070090977","2001","aysuhendra","internal","0000105141","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","aysuhendra","internal","0000105221","MY","COMSOLMY","","LOR2",True
"0030070570","0070090977","2001","aysuhendra","internal","0000105351","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","aysuhendra","internal","0000105571","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","bcgai","internal","0000100289","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","bcgai","internal","0000101989","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","bcgai","internal","0000102233","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","bcgai","internal","0000102696","MY","COMSOLMY","","E707",True
