"matnr","zzprncode","zzibrnd","mtart","matkl","TherapeuticClass","PrincipalName","mstae","mstde","mstav","mstdv","zzdwrx","spart","vtweg","dwerk","mvgr1","mvgr2","mvgr3","mvgr4","mvgr5","tragr","vmsta","vmstd","MaterialSalesOrganisation","prodh","mtpos","OldMaterialCode","GovernmentMaterialCode","taxClassification","Description","Language","DefaultMaterialDescription","DefaultMaterialLanguage","unitOfMeasurement","itemRegistrationNumber","GenericMaterialName","WarehouseStorageCondition","aland","taxm1","taxm2","taxm3","taxm4","taxm5","taxm6","taxm7","taxm8","taxm9","taxim","tatyp","vtext","idnlf","prat1","prat2","prat3","prat4","prat5","prat6","prat7","prat8","prat9"
"000000000021047156","0000101276","DERMAVEEN SOAP FREE","ZF01","ZCS","All other non-therapeutic products","INOVA PHARMACEUTICALS (S) PTE","LR","20250101","BS","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","Z7","20150512","2001","101276003290007011","NORM","72918","","","DERMAVEEN SOAP FREEWASH500ML","E","DERMAVEEN SOAP FREEWASH500ML","E","EA","NOT REQUIRED","DERMAVEEN SOAP FREE WASH 500ML","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023046633","0000101234","KENHANCER PLASTER","ZF03","ZMC","Topical antirheumatics","SUN PHARMACEUTICAL SDN BHD","LR","20250101","LR","20250101","Y","30","10","2010","","","ZNC","2SD","","ZP01","","00000000","2001","1012340BIO02002001","NORM","0190003","","","KENHANCER PLASTER20'S","E","KENHANCER PLASTER20'S","E","EA","MAL20002251A","KENHANCER PLASTER                20'S","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","23046633-CCCC","","","","","","","","",""
"000000000021210803","0000101223","TECNIS ONE ZCB 06.5D","ZF01","ZMD","Cataract and anticataractogenic preps.","ABBOTT MEDICAL OPTICS","LR","99910101","LR","99910101","Y","30","10","2010","ZCB","","ZNC","2GD","","ZP01","","00000000","2001","101223000IOL003001","NORM","009ZCB00065","","","TECNIS ONE ZCB 06.5D","E","TECNIS ONE ZCB 06.5D","E","EA","NOT REQUIRED","TECNIS ONE ZCB 06.5D","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","ZCB0000065","","","","","","","","",""
"000000000023064902","0000101369","REDOXON KIDS DA CHEW","ZF03","ZCH","Vitamin C combinations","BAYER CO (MALAYSIA) SDN BHD","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101369000001003002","NORM","25180450592","","","REDOXON KIDS DA CHEWABLETAB60S","E","REDOXON KIDS DA CHEWABLETAB60S","E","EA","MAL09122804X","REDOXON KIDS DA CHEWABLE  TAB    60S","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","80450592","","","","","","","","",""
"000000000021037570","0000101223","TECNIS ONE ZCB 21.0D","ZF01","ZMD","Cataract and anticataractogenic preps.","ABBOTT MEDICAL OPTICS","LR","20250101","LR","20250101","Y","30","10","2010","ZCB","","ZNC","2GD","","ZP01","","00000000","2001","101223000IOL002007","NORM","009ZCB00210","","","TECNIS ONE ZCB 21.0D","E","TECNIS ONE ZCB 21.0D","E","EA","NOT REQUIRED","TECNIS ONE ZCB 21.0D","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023344235","0000102575","SynMesh Cutter","ZF03","ZPE","Promotional items","STRYKER CORPORATION (M) SDN BHD","LR","99901231","LR","99901231","Y","00","10","2014","","","","","","ZMD3","","00000000","2001","102575","NORM","KT64175445550","","","SynMesh Cutter V3","E","SynMesh Cutter V3","E","EA","","","AC","MY","0","","","","","","","","","","MWST","Product : No Tax","","","","","","","","","",""
"000000000023063927","0000101365","FLUOROCELL WDF","ZF03","ZMD","All other diagnostic tests","SYSMEX (M) SDN BHD (PCL a/c)","LR","20250101","LR","20250101","Y","30","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101365HEMA01002003","NORM","227CV377552","","","FLUOROCELL WDFST2X42ML","E","FLUOROCELL WDFST2X42ML","E","EA","NOT REQUIRED","FLUOROCELL WDF ST 2X42ML","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","CV377552","","","","","","","","",""
"000000000023073116","0000101286","ADALAT LA","ZF03","ZPE","Calcium antagonists, plain","BAYER CO (M) SDN BHD (PCL a/c)","LR","20250101","LR","20250101","Y","10","10","2010","","","ZNC","2SD","","ZP01","","00000000","2001","10128600BAY2BU4016","NORM","88004","","","ADALAT LATABS30MG30'S","E","ADALAT LATABS30MG30'S","E","EA","MAL20001248A","NIFEDIPINE","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","3594436","","","","","","","","",""
"000000000023046886","0000101236","ZOVIRAX OPTH","ZF03","ZPE","Ophthalmological antiviral agents","GLAXOSMITHKLINE PHARMACEUTICAL_","LR","20250101","LR","20250101","Y","10","10","2010","","","ZNC","2SD","","ZP01","Z7","20140620","2001","101236ANTI-VZOVZOV","NORM","02181239","","","ZOVIRAX OPTHOINT4.5GM","E","ZOVIRAX OPTHOINT4.5GM","E","EA","MAL05072013AC","ACYCLOVIR","AC","MY","0","","","","","","","","","","MWST","Product : No Tax","","","","","","","","","",""
"000000000023071153","0000101242","OXY OIL CONTROL TONE","ZF03","ZCS","Emollients, protectives","ROHTO-MENTHOLATUM (M) SDN BHD","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","1012420OXY01006012","NORM","29191","","","OXY OIL CONTROL TONER150ML","E","OXY OIL CONTROL TONER150ML","E","EA","NOT120601975K","OXY OIL CONTROL TONER            150ML","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023073133","0000101286","NIMOTOP","ZF03","ZPE","Calcium antagonists w/ cerebral activity","BAYER CO (M) SDN BHD (PCL a/c)","LR","20250101","LR","20250101","Y","10","10","2010","","","ZNC","2SD","","ZP01","","00000000","2001","10128600BAY8BU2000","NORM","88024","","","NIMOTOPTABS30MG30'S","E","NIMOTOPTABS30MG30'S","E","EA","MAL19940001A","NIMODIPINE","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","82186841","","","","","","","","",""
"000000000021041004","0000101229","JOHNSON'S LOTION SOA","ZF01","ZPC","Other dermatological preparations","JOHNSON & JOHNSON SDN BHD (PCL","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101229WBAB01006001","NORM","152000357801","","","JOHNSON'S LOTION SOAP 100GMX3","E","JOHNSON'S LOTION SOAP 100GMX3","E","EA","NOT REQUIRED","JOHNSON'S LOTION SOA P 100G MX3","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","4801010561309","","","","","","","","",""
"000000000023056899","0000101293","MAGNESIUM AMINO ACID","ZF03","ZCH","Multivitamins with minerals","CAMBERT (M) SDN BHD  (PCL a/c)","LR","20250101","LR","20250101","Y","20","10","2010","KRL","","ZNC","2GD","","ZP01","","00000000","2001","101293VKOR01001022","NORM","119KRLVIT1227","","","MAGNESIUM AMINO ACIDCHELATE 75060S","E","MAGNESIUM AMINO ACIDCHELATE 75060S","E","EA","MAL06091554XC","MAGNESIUM AMINO ACID CHELATE 750 60S","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023048504","0000101261","LAMISIL","ZF03","ZPE","Systemic agents for fungal infections","NOVARTIS CORPORATION (M) SDN","LR","20250101","Z7","20250101","Y","10","10","2010","","","ZNC","2SD","","ZP01","","00000000","2001","101261GENMED009001","NORM","052153795","","","LAMISILTAB250MG3X14'S","E","LAMISILTAB250MG3X14'S","E","EA","MAL20000273AC","TERBINAFINE HYDROCHLORIDE","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","153795","","","","","","","","",""
"000000000023046994","0000101236","WELLBUTRIN SR","ZF03","ZPE","Antidepressants, all others","GLAXOSMITHKLINE PHARMACEUTICAL_","LR","20230629","LR","20230629","Y","10","10","2010","","","ZNC","2SD","300","ZP01","Z7","20140620","2001","101236CTR NSWELWEL","NORM","02181490S","","","WELLBUTRIN SR150MG60S","E","WELLBUTRIN SR150MG60S","E","EA","MAL20081803AR","WELLBUTRIN SR        150MG  60S","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023048639","0000101261","ZADITEN SYRUP","ZF03","ZPE","Systemic antihistamines","NOVARTIS CORPORATION (M) SDN","LR","20250101","Z7","20250101","Y","10","10","2010","","","ZNC","2SD","","ZP01","","00000000","2001","101261GENMED009001","NORM","052711585","","","ZADITEN SYRUPBOT1MG/5ML200ML","E","ZADITEN SYRUPBOT1MG/5ML200ML","E","EA","MAL05072025AC","KETOTIFEN HYDROGEN FUMARATE","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","711585","","","","","","","","",""
"000000000023046076","0000101228","ZOCOR","ZF03","ZPE","Statins (HMG-CoA reductase inhibitors)","MERCK SHARP & DOHME (I.A)","LR","20260101","LR","20260101","Y","10","10","2010","","04","ZHP","2SD","","ZP05","","00000000","2001","101228000CVMZOCZ10","NORM","01200082","","","ZOCORTABS10MG120'S","E","ZOCORTABS10MG120'S","E","EA","MAL19921415ARS","SIMVASTATIN","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","106799","","","","","","","","",""
"000000000021045987","0000101361","TUBINETTE 20M ROLL","ZF01","ZMC","All other wound healing agents","MOLNLYCKE HEALTHCARE","LR","20250101","LR","20250101","Y","30","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101361000CWC002001","NORM","2232416","","","TUBINETTE 20M ROLL/01","E","TUBINETTE 20M ROLL/01","E","EA","NOT REQUIRED","TUBINETTE 20M ROLL       /01","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023063881","0000101365","UX II SEARCH -SED ST","ZF03","ZMD","All other diagnostic tests","SYSMEX (M) SDN BHD (PCL a/c)","LR","20250101","LR","20250101","Y","30","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101365URIN01002003","NORM","227BD563893","","","UX II SEARCH -SED ST29MLX 1","E","UX II SEARCH -SED ST29MLX 1","E","EA","NOT REQUIRED","UX II SEARCH -SED ST 29ML X 1","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","BD563893","","","","","","","","",""
"000000000023059571","0000101338","URIAGE DEPIDERM SOIN","ZF03","ZCS","Emollients, protectives","LABORATOIRES DERMATO D'URIAGE","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101338URIAGE007014","NORM","19415000299","","","URIAGE DEPIDERM SOININTENSIF F30ML","E","URIAGE DEPIDERM SOININTENSIF F30ML","E","EA","NOT101000404K","URIAGE DEPIDERM SOIN INTENSIF F  30ML","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023059576","0000101338","URIAGE CU-ZN+GEL NET","ZF03","ZCS","Emollients, protectives","LABORATOIRES DERMATO D'URIAGE","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101338URIAGE001004","NORM","19415000323","","","URIAGE CU-ZN+GEL NETTOYANTF 200ML(NL)","E","URIAGE CU-ZN+GEL NETTOYANTF 200ML(NL)","E","EA","NOT0610566KE","URIAGE CU-ZN+GEL NETTOYANT F 200ML(NL)","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023059577","0000101338","URIAGE L'EAU DEMAQUI","ZF03","ZCS","Emollients, protectives","LABORATOIRES DERMATO D'URIAGE","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101338URIAGE003020","NORM","19415000328","","","URIAGE L'EAU DEMAQUILLANTEPNM 250ML","E","URIAGE L'EAU DEMAQUILLANTEPNM 250ML","E","EA","NOT07040296KE","URIAGE L'EAU DEMAQUILLANTE PNM 250ML","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000021042279","0000101340","URGOSOFT 4CMX1M","ZF01","ZWM","All other wound healing agents","HCP HEALTHCARE ASIA PTE.LTD.","LR","20250101","LR","20250101","Y","30","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101340000HCA002011","NORM","197696906","","","URGOSOFT 4CMX1M1'S","E","URGOSOFT 4CMX1M1'S","E","EA","NOT REQUIRED","URGOSOFT 4CMX1M 1'S","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023064243","0000101237","PREGNANCY FORMULA","ZF03","ZCH","Multivitamins w/ Minerals - Prenatal","BLACKMORES (MALAYSIA) SDN BHD","LR","20250101","LR","20250101","Y","20","10","2010","STD","","ZNC","2GD","","ZP01","","00000000","2001","101237AVAOO1003001","NORM","23096","","","PREGNANCY FORMULACAP60'S","E","PREGNANCY FORMULACAP60'S","E","EA","MAL06011733XCR","PREGNANCY FORMULA   CAP          60'S","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","24825","","","","","","","","",""
"000000000021039838","0000101272","SYOSS ANTI DANDRUFF","ZF01","ZPC","All other non-therapeutic products","HENKEL (M) SDN BHD - SYOSS","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101272HEN001001001","NORM","0671650804","","","SYOSS ANTI DANDRUFFCTRL C/TIONER190ML","E","SYOSS ANTI DANDRUFFCTRL C/TIONER190ML","E","EA","NOT130804470K","SYOSS AD CTRL CD 190ML","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023047160","0000101236","STIEVA-A CREAM 0.05%","ZF03","ZPE","Topical anti-acne preparations","GLAXOSMITHKLINE PHARMACEUTICAL_","LR","20250101","LR","20250101","Y","10","10","2010","","","ZNC","2SD","","ZP01","Z7","20140620","2001","101236TRET01001001","NORM","02184191","STF","","STIEVA-A CREAM 0.05%25G","E","STIEVA-A CREAM 0.05%25G","E","EA","MAL19910098A","STIEVA-A CREAM 0.05% 25G","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023054986","0000101271","STIMULEN DIABETIC S/","ZF03","ZMD","All other wound healing agents","SOZA HEALTHCARE SDN BHD","LR","20250101","LR","20250101","Y","30","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101271WOUNDC001001","NORM","066ST9556","","","STIMULEN DIABETIC S/CARE LOTION 2OZ 60G","E","STIMULEN DIABETIC S/CARE LOTION 2OZ 60G","E","EA","NOT REQUIRED","STIMULEN DIABETIC S/CARE LOTION 2OZ 60G","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023059935","0000101341","SUNSENSE Anti-Ageing","ZF03","ZPC","Emollients, protectives","EGO PHARMA MALAYSIA SDN BHD","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101341000EGO0SSAAF","NORM","198122.100","","","SUNSENSE Anti-AgeingFaceLotion100ML","E","SUNSENSE Anti-AgeingFaceLotion100ML","E","EA","NOT120904655K","SUNSENSE Anti-Ageing Face Lotion 100ML","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","10293","","","","","","","","",""
"000000000023072076","0000101255","SUPA FORMULA 3 PLUS","ZF03","ZCH","Multivitamins w/ Minerals - Geriatric","SWISS BIO PHARMA SDN BHD  (PCL","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","Z7","20150420","2001","101255ANUM01011001","NORM","45106","","","SUPA FORMULA 3 PLUS(NEW)30'S","E","SUPA FORMULA 3 PLUS(NEW)30'S","E","EA","MAL 06051347XCR","SUPA FORMULA 3 PLUS (NEW)          30'S","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000021037530","0000101223","TECNIS ACRYL ZA9003","ZF01","ZMD","Cataract and anticataractogenic preps.","ABBOTT MEDICAL OPTICS","LR","20250101","LR","20250101","Y","30","10","2010","Z93","","ZNC","2GD","","ZP01","","00000000","2001","101223000IOL003002","NORM","009ZA9003265","","","TECNIS ACRYL ZA9003+26.5","E","TECNIS ACRYL ZA9003+26.5","E","EA","NOT REQUIRED","TECNIS ACRYL ZA9003 +26.5","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000021037833","0000101223","TECNIS ZMA 07.0D MF","ZF01","ZMD","Cataract and anticataractogenic preps.","ABBOTT MEDICAL OPTICS","LR","20250101","LR","20250101","Y","30","10","2010","ZMA","","ZNC","2GD","","ZP01","","00000000","2001","101223000IOL004004","NORM","009ZMA00070","","","TECNIS ZMA 07.0D MFACRYLI","E","TECNIS ZMA 07.0D MFACRYLI","E","EA","NOT REQUIRED","TECNIS ZMA 07.0D MF ACRYLI","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000021037870","0000101223","TECNIS ZMA 25.5D MF","ZF01","ZMD","Cataract and anticataractogenic preps.","ABBOTT MEDICAL OPTICS","LR","20250101","LR","20250101","Y","30","10","2010","ZMA","","ZNC","2GD","","ZP01","","00000000","2001","101223000IOL004004","NORM","009ZMA00255","","","TECNIS ZMA 25.5D MFACRYLI","E","TECNIS ZMA 25.5D MFACRYLI","E","EA","NOT REQUIRED","TECNIS ZMA 25.5D MF ACRYLI","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000021037735","0000101223","TECNIS TORIC 1-PIECE","ZF01","ZMD","Cataract and anticataractogenic preps.","ABBOTT MEDICAL OPTICS","LR","20250101","LR","20250101","Y","30","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101223000IOL006001","NORM","009ZCT3000170","","","TECNIS TORIC 1-PIECECYL3.0017.0","E","TECNIS TORIC 1-PIECECYL3.0017.0","E","EA","NOT REQUIRED","TECNIS TORIC 1-PIECE CYL3.00 17.0","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000021037754","0000101223","TECNIS TORIC 1-PIECE","ZF01","ZMD","Cataract and anticataractogenic preps.","ABBOTT MEDICAL OPTICS","LR","20250101","LR","20250101","Y","30","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101223000IOL006001","NORM","009ZCT3000265","","","TECNIS TORIC 1-PIECECYL3.0026.5","E","TECNIS TORIC 1-PIECECYL3.0026.5","E","EA","NOT REQUIRED","TECNIS TORIC 1-PIECE CYL3.00 26.5","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000021037922","0000101223","TECNIS MF 1PCS 6.0MM","ZF01","ZMD","Cataract and anticataractogenic preps.","ABBOTT MEDICAL OPTICS","LR","20250101","LR","20250101","Y","30","10","2010","ZMB","","ZNC","2GD","","ZP01","","00000000","2001","101223000IOLMULMF1","NORM","009ZMB00I0255","","","TECNIS MF 1PCS 6.0MM25.5D","E","TECNIS MF 1PCS 6.0MM25.5D","E","EA","NOT REQUIRED","TECNIS MF 1PCS 6.0MM25.5D","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000021046684","0000101393","SHARPS COLLECTOR ECL","ZF01","ZMD","All other non-therapeutic products","BECTON DICKINSON HOLDINGS PTE","LR","20250101","LR","20250101","Y","30","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101393000102000000","NORM","277367216","","","SHARPS COLLECTOR ECLIPSE 1QT1'S","E","SHARPS COLLECTOR ECLIPSE 1QT1'S","E","EA","NOT REQUIRED","SHARPS COLLECTOR ECLIPSE 1QT     1'S","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023071940","0000101252","SEVEN SEAS FLEXICARE","ZF03","ZCH","Antirheumatics, non-steroidal plain","MERCK SDN BHD","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101252SEVSEA418FLE","NORM","41410","","","SEVEN SEAS FLEXICAREGLUCOSA.500MG 100'S","E","SEVEN SEAS FLEXICAREGLUCOSA.500MG 100'S","E","EA","MAL07011039XC","SEVEN SEAS FLEXICARE GLUCOSA.500MG 100'S","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","HOVIJCCOSC BEO","","","","","","","","",""
"000000000021042131","0000101339","SCOTTS VIT C PAST OR","ZF01","ZCH","Combinations of vitamin A with vitamin D","GLAXOSMITHKLINE CONSUMER","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2PH","","ZP01","","00000000","2001","101339VITAMISCVSCV","NORM","195241299","","","SCOTTS VIT C PAST ORANGE FOC RAINCOAT","E","SCOTTS VIT C PAST ORANGE FOC RAINCOAT","E","EA","NOT REQUIRED","SCOTTS VIT C PAST ORANGE FOC RAINCOAT","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000021037063","0000101223","SENSAR IOL AR40E","ZF01","ZMD","Cataract & anticataractogenic prep, top.","ABBOTT MEDICAL OPTICS","LR","20250101","LR","20250101","Y","30","10","2010","SEN","","ZNC","2GD","","ZP01","","00000000","2001","101223000IOL003001","NORM","009AR40E00145","","","SENSAR IOL AR40E14.5D","E","SENSAR IOL AR40E14.5D","E","EA","NOT REQUIRED","SENSAR IOL AR40E    14.5D","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
"000000000023070853","0000101241","SPORANOX CAPS","ZF03","ZPE","Systemic agents for fungal infections","JANSSEN PHARMACEUTICA","","00000000","","00000000","Y","10","10","2010","","","ZHP","2SD","","ZP05","","00000000","2001","101241DAAP01001001","NORM","28048","","","SPORANOX CAPS100MG28'S (2X14'S)","E","SPORANOX CAPS100MG28'S (2X14'S)","E","EA","MAL05072016A","ITRACONAZOLE","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","MY377323TG","","","","","","","","",""
"000000000021046420","0000101380","SK PALETTE DELUXE9-4","ZF01","ZPC","All other non-therapeutic products","HENKEL (MALAYSIA) SDN BHD","LR","20250101","LR","20250101","Y","20","10","2010","","","ZNC","2GD","","ZP01","","00000000","2001","101380HEN001001004","NORM","2641833938","","","SK PALETTE DELUXE9-4EL B/BBLONDE230B1F1","E","SK PALETTE DELUXE9-4EL B/BBLONDE230B1F1","E","EA","NOT140101741K","SK PALETTE DELUXE9-4EL BEIGE BLONDE B1F1","AC","MY","1","","","","","","","","","","MWST","Product : Full Tax","","","","","","","","","",""
