"zzprncode","PrincipalName","matnr","Description","TherapeuticClass","zzibrnd","zzdwrx","vmsta","vmstd","mstav","mstdv","MaterialSalesOrganisation","vtweg","mtart","mvgr4","mvgr2","prodh","GovernmentMaterialCode","OldMaterialCode","DefaultMaterialDescription","vtext","unitOfMeasurement","itemRegistrationNumber","Language","taxm1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237171","DOMED PAT 3 PEG 32MMDIA","Non-IMS classified","DOMED PAT 3 PEG 32MM","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00522001700","DOMED PAT 3 PEG 32MMDIA","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237370","ZIM UNI ART SURF SZ4 8MM","Non-IMS classified","ZIM UNI ART SURF SZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00584202408","ZIM UNI ART SURF SZ4 8MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237371","ZIM UNI ART SURF SZ4 9MM","Non-IMS classified","ZIM UNI ART SURF SZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00584202409","ZIM UNI ART SURF SZ4 9MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237372","ZIM UNI ART SURF SZ4 10MM","Non-IMS classified","ZIM UNI ART SURF SZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00584202410","ZIM UNI ART SURF SZ4 10MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237373","ZIM UNI ART SURF SZ4 11MM","Non-IMS classified","ZIM UNI ART SURF SZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00584202411","ZIM UNI ART SURF SZ4 11MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237374","ZIM UNI ART SURF SZ4 12MM","Non-IMS classified","ZIM UNI ART SURF SZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00584202412","ZIM UNI ART SURF SZ4 12MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237375","ZIM UNI ART SURF SZ4 14MM","Non-IMS classified","ZIM UNI ART SURF SZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00584202414","ZIM UNI ART SURF SZ4 14MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237376","ZIM UNI ART SURF SZ5 8MM","Non-IMS classified","ZIM UNI ART SURF SZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00584202508","ZIM UNI ART SURF SZ5 8MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237954","LPS ALL POLY TIB GRNSZ5X10MM","Non-IMS classified","LPS ALL POLY TIB GRN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599600510","LPS ALL POLY TIB GRNSZ5X10MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237955","LPS ALL POLY TIB GRNSZ5X12MM","Non-IMS classified","LPS ALL POLY TIB GRN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599600512","LPS ALL POLY TIB GRNSZ5X12MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
