"principalsalesrep","customersoldto","customershipto","salesrepid"
"ALLREP","0030070570","0070090977","myaz-adelinelim"
"ALLREP","0030070570","0070090977","myaz-agneshuang"
"ALLREP","0030070570","0070090977","myaz-agnesyong"
"ALLREP","0030070570","0070090977","myaz-alexislee"
"ALLREP","0030070570","0070090977","myaz-aliceleong"
"ALLREP","0030070570","0070090977","myaz-aliceyong"
"ALLREP","0030070570","0070090977","myaz-alveselva"
"ALLREP","0030070570","0070090977","myaz-amieechung"
"ALLREP","0030070570","0070090977","myaz-amiraazhar"
"ALLREP","0030070570","0070090977","myaz-amostan"
"ALLREP","0030070570","0070090977","myaz-angellai"
"ALLREP","0030070570","0070090977","myaz-annaong"
"ALLREP","0030070570","0070090977","myaz-annielim"
"ALLREP","0030070570","0070090977","myaz-audreychin"
"ALLREP","0030070570","0070090977","myaz-beekengkho"
"ALLREP","0030070570","0070090977","myaz-bernard"
"ALLREP","0030070570","0070090977","myaz-berniceguek"
"ALLREP","0030070570","0070090977","myaz-bgooi"
"ALLREP","0030070570","0070090977","myaz-bmtan"
"ALLREP","0030070570","0070090977","myaz-boonhanlau"
"ALLREP","0030070570","0070090977","myaz-cannylim"
"ALLREP","0030070570","0070090977","myaz-carmenlee2"
"ALLREP","0030070570","0070090977","myaz-carmenngan"
"ALLREP","0030070570","0070090977","myaz-caroltoh"
"ALLREP","0030070570","0070090977","myaz-carolyntan"
"ALLREP","0030070570","0070090977","myaz-cbong"
"ALLREP","0030070570","0070090977","myaz-ccchee"
"ALLREP","0030070570","0070090977","myaz-celestlim"
"ALLREP","0030070570","0070090977","myaz-cheehaukoo"
"ALLREP","0030070570","0070090977","myaz-cherryphang"
"ALLREP","0030070570","0070090977","myaz-chgoh"
"ALLREP","0030070570","0070090977","myaz-chiayinnl"
"ALLREP","0030070570","0070090977","myaz-chingyiklee"
"ALLREP","0030070570","0070090977","myaz-chrislau"
"ALLREP","0030070570","0070090977","myaz-chtan"
"ALLREP","0030070570","0070090977","myaz-cindylau"
"ALLREP","0030070570","0070090977","myaz-cpseow"
"ALLREP","0030070570","0070090977","myaz-cysiah"
"ALLREP","0030070570","0070090977","myaz-cysim"
"ALLREP","0030070570","0070090977","myaz-cywong"
"ALLREP","0030070570","0070090977","myaz-danielchang1"
"ALLREP","0030070570","0070090977","myaz-daniellechan"
"ALLREP","0030070570","0070090977","myaz-diana"
"ALLREP","0030070570","0070090977","myaz-easonlee"
"ALLREP","0030070570","0070090977","myaz-eetningku"
"ALLREP","0030070570","0070090977","myaz-elainetan1"
"ALLREP","0030070570","0070090977","myaz-elang"
"ALLREP","0030070570","0070090977","myaz-eliselooi"
"ALLREP","0030070570","0070090977","myaz-ellistan1"
"ALLREP","0030070570","0070090977","myaz-emilykiu"
"ALLREP","0030070570","0070090977","myaz-emilywong"
"ALLREP","0030070570","0070090977","myaz-ericang"
"ALLREP","0030070570","0070090977","myaz-ericcaleong"
"ALLREP","0030070570","0070090977","myaz-ericlim"
"ALLREP","0030070570","0070090977","myaz-eshuenleow"
"ALLREP","0030070570","0070090977","myaz-eslee"
"ALLREP","0030070570","0070090977","myaz-estherho"
"ALLREP","0030070570","0070090977","myaz-eugenethee"
"ALLREP","0030070570","0070090977","myaz-eujinlim"
"ALLREP","0030070570","0070090977","myaz-euvenyeo"
"ALLREP","0030070570","0070090977","myaz-evelynchui"
"ALLREP","0030070570","0070090977","myaz-evelyntan"
"ALLREP","0030070570","0070090977","myaz-fanyeegoh"
"ALLREP","0030070570","0070090977","myaz-farahwm"
"ALLREP","0030070570","0070090977","myaz-fflim"
"ALLREP","0030070570","0070090977","myaz-fionafoo"
"ALLREP","0030070570","0070090977","myaz-fionayong"
"ALLREP","0030070570","0070090977","myaz-florenceho"
"ALLREP","0030070570","0070090977","myaz-foopunyip"
"ALLREP","0030070570","0070090977","myaz-guccatay"
"ALLREP","0030070570","0070090977","myaz-haeleytee"
"ALLREP","0030070570","0070090977","myaz-ivan"
"ALLREP","0030070570","0070090977","myaz-ivanho1"
"ALLREP","0030070570","0070090977","myaz-jackmoh"
"ALLREP","0030070570","0070090977","myaz-jadeyeoh"
"ALLREP","0030070570","0070090977","myaz-jamesontan"
"ALLREP","0030070570","0070090977","myaz-jamesonwong"
"ALLREP","0030070570","0070090977","myaz-janicekhor"
"ALLREP","0030070570","0070090977","myaz-jaredho"
"ALLREP","0030070570","0070090977","myaz-jasmimm"
"ALLREP","0030070570","0070090977","myaz-jasontan"
"ALLREP","0030070570","0070090977","myaz-jazzleong"
"ALLREP","0030070570","0070090977","myaz-jeanfoo"
"ALLREP","0030070570","0070090977","myaz-jecelynphua"
"ALLREP","0030070570","0070090977","myaz-jenarthananv"
"ALLREP","0030070570","0070090977","myaz-jenelltam"
"ALLREP","0030070570","0070090977","myaz-jeniceteoh"
"ALLREP","0030070570","0070090977","myaz-jessicaho1"
"ALLREP","0030070570","0070090977","myaz-jessicalooi"
"ALLREP","0030070570","0070090977","myaz-jessieleow"
"ALLREP","0030070570","0070090977","myaz-jessielim"
"ALLREP","0030070570","0070090977","myaz-jessiewong"
"ALLREP","0030070570","0070090977","myaz-jiahuiwang4"
"ALLREP","0030070570","0070090977","myaz-joannayam1"
"ALLREP","0030070570","0070090977","myaz-joannekoay"
"ALLREP","0030070570","0070090977","myaz-jocelynho"
"ALLREP","0030070570","0070090977","myaz-johnchea"
"ALLREP","0030070570","0070090977","myaz-johnny"
"ALLREP","0030070570","0070090977","myaz-jueantan"
"ALLREP","0030070570","0070090977","myaz-junhuahe"
"ALLREP","0030070570","0070090977","myaz-jwwong"
"ALLREP","0030070570","0070090977","myaz-karlaihor"
"ALLREP","0030070570","0070090977","myaz-kashmitasp"
"ALLREP","0030070570","0070090977","myaz-katherinekhong"
"ALLREP","0030070570","0070090977","myaz-kcwee"
"ALLREP","0030070570","0070090977","myaz-kelvinlim"
"ALLREP","0030070570","0070090977","myaz-kennethching"
"ALLREP","0030070570","0070090977","myaz-khlim"
"ALLREP","0030070570","0070090977","myaz-kimyeelee"
